state,name,url,source,official_nike_2026_match
CO,303 Boards,https://www.303boards.com/,community_shopify_2024,true
WA,35th North,https://35thnorth.com/,community_shopify_2024,true
CA,510 Skateboarding,https://510skateboarding.com/,community_shopify_2024,true
CA,818 Skate Shop,https://818skateshop.com/,community_shopify_2024,false
FL,Andrew,https://andrewdowntown.com/,community_shopify_2024,true
WA,Apple Valley Emporium,https://applevalleyemporium.com/,community_shopify_2024,true
CA,Apt. Skate Shop,https://aptskateshop.com/,community_shopify_2024,false
CA,Arts & Rec,https://artsandrecstore.com/,community_shopify_2024,true
CA,Atlas,https://shop.atlasskateboarding.com/,community_shopify_2024,true
CA,Bakersfield Skate Co,https://www.bakersfieldskateco.com/,community_shopify_2024,false
NC,Black Sheep USA,https://blacksheepskateshop.com/,community_shopify_2024,true
OH,Blacklist,https://blacklistboardshop.com/,community_shopify_2024,true
CA,Brooklyn Projects,https://brooklynprojects.com/,community_shopify_2024,true
WA,By and By,https://byandbyseattle.com/,community_shopify_2024,true
VA,Cardinal,https://cardinalskateshop.net/,community_shopify_2024,false
VA,Cinema,https://cinemaskateshop.com/,community_shopify_2024,true
SC,Continuum,https://www.continuumsc.com/,community_shopify_2024,true
DC,Crushed,https://crushedskateshop.com/,community_shopify_2024,false
TX,Deli,https://deliskatesupply.com/,community_shopify_2024,true
CA,DLX,https://dlxskateshop.com/,community_shopify_2024,true
OH,Embassy,https://embassyboardshop.com/,community_shopify_2024,true
AL,Faith,https://faith-skate-supply.myshopify.com/,community_shopify_2024,true
NE,Filter,https://filterskateshop.com/,community_shopify_2024,false
NY,Flower,https://flowerskateshop.com/,community_shopify_2024,false
CA,FTC,https://shop.ftcsf.com/,community_shopify_2024,true
CA,Furnace,https://www.furnaceskate.com/,community_shopify_2024,true
TX,Geometric,https://www.geometricskateshop.com/,community_shopify_2024,true
PA,Holistic,https://holisticskateshop.com/,community_shopify_2024,true
CA,Impact,https://www.impactskateshop.com/,community_shopify_2024,false
CA,Innercity,https://innercityskate.com/,community_shopify_2024,true
NY,Krudco,https://www.krudco.com/,community_shopify_2024,false
NY,Labor,https://laborskateshop.com/,community_shopify_2024,true
CA,Lead,https://leadskateshop.com/,community_shopify_2024,false
TX,Magnolia,https://www.magnoliaskateshop.com/,community_shopify_2024,true
OK,Money Ruins Everything,https://moneyruinseverything.com/,community_shopify_2024,false
OK,Nine One,https://nineoneskateco.com/,community_shopify_2024,false
NJ,NJ Skateshop,https://njskateshop.com/,community_shopify_2024,true
TX,No-Comply,https://nocomplyatx.com/,community_shopify_2024,true
PA,Nocturnal/Kinetic,https://kineticskateboarding.com/,community_shopify_2024,true
MI,Olympia,https://olympiaskateshop.com/,community_shopify_2024,true
TX,Select,https://slcth.shop/,community_shopify_2024,true
CA,Slappy's Garage,https://slappysgaragesd.com/,community_shopify_2024,false
TX,Southside,https://southsideskateshop.com/,community_shopify_2024,true
NC,Stardust,https://www.stardustskateshop.com/,community_shopify_2024,true
ND,THIS,https://thisskateshop.com/,community_shopify_2024,true
UT,Time Machine,https://timemachineskateshop.com/,community_shopify_2024,true
NJ,Travel,https://www.travelskateshop.com/,community_shopify_2024,true
NJ,Underground,https://www.undergroundskateshop.com/,community_shopify_2024,true
IL,Uprise,https://upriseskateshop.com/,community_shopify_2024,true
VA,Venue,https://venueskateboards.com/,community_shopify_2024,true
CA,Mainland Skate & Surf,https://mainlandskateandsurf.com/,user_list_2026,false
CA,Undefeated,https://undefeated.com/,user_list_2026,false
MI,People Skate and Snowboard,https://peopleskateandsnowboard.com/,user_list_2026,false
AB,Ninetimes Skateshop,https://ninetimesskateshop.com/,user_list_2026,false
PR,The Room Surf and Skate Shop,https://theroompr.com/,user_list_2026,false
