state,name,url,source,official_nike_2026_match,http_status,canonical_url,platform,queue,note
CA,510 Skateboarding,https://510skateboarding.com/,community_shopify_2024,true,200,https://510skateboarding.com,shopify,active,
CA,Atlas,https://shop.atlasskateboarding.com/,community_shopify_2024,true,200,https://shop.atlasskateboarding.com,shopify,active,
IL,Uprise,https://upriseskateshop.com/,community_shopify_2024,true,200,https://upriseskateshop.com,shopify,active,
NC,Black Sheep USA,https://blacksheepskateshop.com/,community_shopify_2024,true,200,https://blacksheepskateshop.com,shopify,active,
NJ,NJ Skateshop,https://njskateshop.com/,community_shopify_2024,true,200,https://njskateshop.com,shopify,active,
PA,Nocturnal/Kinetic,https://kineticskateboarding.com/,community_shopify_2024,true,200,https://kineticskateboarding.com,shopify,active,
TX,No-Comply,https://nocomplyatx.com/,community_shopify_2024,true,200,https://nocomplyatx.com,shopify,active,
CA,Slappy's Garage,https://slappysgaragesd.com/,community_shopify_2024,false,404,https://slappysgaragesd.com,non_shopify_or_blocked,custom_adapter_review,
DC,Crushed,https://crushedskateshop.com/,community_shopify_2024,false,404,https://www.crushedskateshop.com,non_shopify_or_blocked,custom_adapter_review,
WA,By and By,https://byandbyseattle.com/,community_shopify_2024,true,401,https://byandbyseattle.com,non_shopify_or_blocked,custom_adapter_review,
CA,Lead,https://leadskateshop.com/,community_shopify_2024,false,,https://leadskateshop.com/,unknown,manual_review,JSONDecodeError: Expecting value: line 1 column 1 (char 0)
NE,Filter,https://filterskateshop.com/,community_shopify_2024,false,,https://filterskateshop.com/,unknown,manual_review,"ConnectionError: HTTPSConnectionPool(host='filterskateshop.com', port=443): Max retries exceeded with url: /products.json?limit=1 (Caused by NameResolutionError(""HTTPSConnection"
AB,Ninetimes Skateshop,https://ninetimesskateshop.com/,user_list_2026,false,200,https://ninetimesskateshop.com,shopify,verified_shopify_ready,
AL,Faith,https://faith-skate-supply.myshopify.com/,community_shopify_2024,true,200,https://faith-skate-supply.myshopify.com,shopify,verified_shopify_ready,
CA,818 Skate Shop,https://818skateshop.com/,community_shopify_2024,false,200,https://818skateshop.com,shopify,verified_shopify_ready,
CA,Apt. Skate Shop,https://aptskateshop.com/,community_shopify_2024,false,200,https://aptskateshop.com,shopify,verified_shopify_ready,
CA,Arts & Rec,https://artsandrecstore.com/,community_shopify_2024,true,200,https://artsandrecstore.com,shopify,verified_shopify_ready,
CA,Bakersfield Skate Co,https://www.bakersfieldskateco.com/,community_shopify_2024,false,200,https://www.bakersfieldskateco.com,shopify,verified_shopify_ready,
CA,Brooklyn Projects,https://brooklynprojects.com/,community_shopify_2024,true,200,https://brooklynprojects.com,shopify,verified_shopify_ready,
CA,DLX,https://dlxskateshop.com/,community_shopify_2024,true,200,https://dlxskateshop.com,shopify,verified_shopify_ready,
CA,FTC,https://shop.ftcsf.com/,community_shopify_2024,true,200,https://shop.ftcsf.com,shopify,verified_shopify_ready,
CA,Furnace,https://www.furnaceskate.com/,community_shopify_2024,true,200,https://www.furnaceskate.com,shopify,verified_shopify_ready,
CA,Impact,https://www.impactskateshop.com/,community_shopify_2024,false,200,https://www.impactskateshop.com,shopify,verified_shopify_ready,
CA,Innercity,https://innercityskate.com/,community_shopify_2024,true,200,https://innercityskate.com,shopify,verified_shopify_ready,
CA,Mainland Skate & Surf,https://mainlandskateandsurf.com/,user_list_2026,false,200,https://mainlandskateandsurf.com,shopify,verified_shopify_ready,
CA,Undefeated,https://undefeated.com/,user_list_2026,false,200,https://undefeated.com,shopify,verified_shopify_ready,
CO,303 Boards,https://www.303boards.com/,community_shopify_2024,true,200,https://www.303boards.com,shopify,verified_shopify_ready,
FL,Andrew,https://andrewdowntown.com/,community_shopify_2024,true,200,https://andrewdowntown.com,shopify,verified_shopify_ready,
MI,Olympia,https://olympiaskateshop.com/,community_shopify_2024,true,200,https://olympiaskateshop.com,shopify,verified_shopify_ready,
MI,People Skate and Snowboard,https://peopleskateandsnowboard.com/,user_list_2026,false,200,https://peopleskateandsnowboard.com,shopify,verified_shopify_ready,
NC,Stardust,https://www.stardustskateshop.com/,community_shopify_2024,true,200,https://www.stardustskateshop.com,shopify,verified_shopify_ready,
