state,name,url,source,official_nike_2026_match,http_status,canonical_url,platform,queue,note,catalog_products,nike_sb_products,target_products,coverage_status
AL,Faith,https://faith-skate-supply.myshopify.com/,community_shopify_2024,true,200,https://faith-skate-supply.myshopify.com,shopify,verified_shopify_ready,,582,1,0,nike_sb_found_no_current_targets
NY,Krudco,https://www.krudco.com/,community_shopify_2024,false,200,https://www.krudco.com,shopify,verified_shopify_ready,,739,3,0,nike_sb_found_no_current_targets
CA,818 Skate Shop,https://818skateshop.com/,community_shopify_2024,false,200,https://818skateshop.com,shopify,verified_shopify_ready,,829,0,0,no_nike_sb_evidence_manual_review
CA,Apt. Skate Shop,https://aptskateshop.com/,community_shopify_2024,false,200,https://aptskateshop.com,shopify,verified_shopify_ready,,248,0,0,no_nike_sb_evidence_manual_review
CA,Bakersfield Skate Co,https://www.bakersfieldskateco.com/,community_shopify_2024,false,200,https://www.bakersfieldskateco.com,shopify,verified_shopify_ready,,282,0,0,no_nike_sb_evidence_manual_review
CA,Impact,https://www.impactskateshop.com/,community_shopify_2024,false,200,https://www.impactskateshop.com,shopify,verified_shopify_ready,,1097,0,0,no_nike_sb_evidence_manual_review
NY,Flower,https://flowerskateshop.com/,community_shopify_2024,false,200,https://flowerskateshop.com,shopify,verified_shopify_ready,,249,0,0,no_nike_sb_evidence_manual_review
OK,Money Ruins Everything,https://moneyruinseverything.com/,community_shopify_2024,false,200,https://moneyruinseverything.com,shopify,verified_shopify_ready,,283,0,0,no_nike_sb_evidence_manual_review
OK,Nine One,https://nineoneskateco.com/,community_shopify_2024,false,200,https://nineoneskateco.com,shopify,verified_shopify_ready,,356,0,0,no_nike_sb_evidence_manual_review
VA,Cardinal,https://cardinalskateshop.net/,community_shopify_2024,false,200,https://cardinalskateshop.net,shopify,verified_shopify_ready,,0,0,0,no_nike_sb_evidence_manual_review
CA,Lead,https://leadskateshop.com/,community_shopify_2024,false,,https://leadskateshop.com/,unknown,manual_review,JSONDecodeError: Expecting value: line 1 column 1 (char 0),,,,not_applicable
