region,state,name,source,status
west,AK,Sequence,Nike SB Air Max 95 West,website_discovery
west,AZ,BLX Skateshop,Nike SB Air Max 95 West,website_discovery
west,AZ,Cowtown Skateboards,Nike SB Air Max 95 West,website_discovery
west,AZ,Sidewalk Surfer,Nike SB Air Max 95 West,website_discovery
west,AZ,Faces,Nike SB Air Max 95 West,website_discovery
west,CA,The Berrics,Nike SB Air Max 95 West,website_discovery
west,CA,Boarders - Topanga,Nike SB Air Max 95 West,website_discovery
west,CA,Crooks,Nike SB Air Max 95 West,website_discovery
west,CA,Crown Apparel,Nike SB Air Max 95 West,website_discovery
west,CA,Defy Boardshop,Nike SB Air Max 95 West,website_discovery
west,CA,Xtreme - Culver City,Nike SB Air Max 95 West,website_discovery
west,CA,Icon Boardshop,Nike SB Air Max 95 West,website_discovery
west,CA,Innercity Skate,Nike SB Air Max 95 West,website_discovery
west,CA,Kingswell,Nike SB Air Max 95 West,website_discovery
west,CA,Brooklyn Projects - Melrose,Nike SB Air Max 95 West,website_discovery
west,CA,Brooklyn Projects - Westchester,Nike SB Air Max 95 West,website_discovery
west,CA,Non Factory,Nike SB Air Max 95 West,website_discovery
west,CA,New Star,Nike SB Air Max 95 West,website_discovery
west,CA,Pawnshop,Nike SB Air Max 95 West,website_discovery
west,CA,Pharmacy Boardshop - Palmdale,Nike SB Air Max 95 West,website_discovery
west,CA,Pharmacy Boardshop - Rancho,Nike SB Air Max 95 West,website_discovery
west,CA,Pharmacy Boardshop - Victorville Mall,Nike SB Air Max 95 West,website_discovery
west,CA,Pharmacy Boardshop - Temecula,Nike SB Air Max 95 West,website_discovery
west,CA,Rapid,Nike SB Air Max 95 West,website_discovery
west,CA,Spyder,Nike SB Air Max 95 West,website_discovery
west,CA,Stix - Monrovia,Nike SB Air Max 95 West,website_discovery
west,CA,Transport,Nike SB Air Max 95 West,website_discovery
west,CA,Val Surf - North Hollywood,Nike SB Air Max 95 West,website_discovery
west,CA,Asylum,Nike SB Air Max 95 West,website_discovery
west,CA,Contenders,Nike SB Air Max 95 West,website_discovery
west,CA,East 4th,Nike SB Air Max 95 West,website_discovery
west,CA,The Fort,Nike SB Air Max 95 West,website_discovery
west,CA,Furnace,Nike SB Air Max 95 West,website_discovery
west,CA,Jacks Surfboards,Nike SB Air Max 95 West,website_discovery
west,CA,Long Beach Skate,Nike SB Air Max 95 West,website_discovery
west,CA,Sixes and Sevens,Nike SB Air Max 95 West,website_discovery
west,CA,Urban Feet,Nike SB Air Max 95 West,website_discovery
west,CA,Sun Diego,Nike SB Air Max 95 West,website_discovery
west,CA,Overload,Nike SB Air Max 95 West,website_discovery
west,CA,Pacific Drive,Nike SB Air Max 95 West,website_discovery
west,CA,Pride,Nike SB Air Max 95 West,website_discovery
west,CA,Rose Street Skateshop,Nike SB Air Max 95 West,website_discovery
west,CA,PLA Folsom,Nike SB Air Max 95 West,website_discovery
west,CA,PLA Sacramento,Nike SB Air Max 95 West,website_discovery
west,CA,510 Skateboarding,Nike SB Air Max 95 West,website_discovery
west,CA,Bills Wheels,Nike SB Air Max 95 West,website_discovery
west,CA,Atlas,Nike SB Air Max 95 West,website_discovery
west,CA,DLX SF,Nike SB Air Max 95 West,website_discovery
west,CA,FTC SF,Nike SB Air Max 95 West,website_discovery
west,CA,Skate Warehouse,Nike SB Air Max 95 West,website_discovery
west,CA,Goodtimes,Nike SB Air Max 95 West,website_discovery
west,CA,Lighthouse,Nike SB Air Max 95 West,website_discovery
west,CA,Prodigy Clovis,Nike SB Air Max 95 West,website_discovery
west,CA,Proof Lab San Rafael,Nike SB Air Max 95 West,website_discovery
west,CA,Kingpin Skateboards,Nike SB Air Max 95 West,website_discovery
west,CA,Arts & Rec,Nike SB Air Max 95 West,website_discovery
west,CO,303 - Annex,Nike SB Air Max 95 West,website_discovery
west,CO,Emage,Nike SB Air Max 95 West,website_discovery
west,CO,Satellite Boardshop,Nike SB Air Max 95 West,website_discovery
west,CO,Skateboard Market,Nike SB Air Max 95 West,website_discovery
west,HI,APB Hawaii,Nike SB Air Max 95 West,website_discovery
west,HI,808 Skates,Nike SB Air Max 95 West,website_discovery
west,NV,Pharmacy Boardshop,Nike SB Air Max 95 West,website_discovery
west,NM,Kingswell,Nike SB Air Max 95 West,website_discovery
west,NM,Microwave,Nike SB Air Max 95 West,website_discovery
west,OR,CCS,Nike SB Air Max 95 West,website_discovery
west,OR,Tactics - Eugene,Nike SB Air Max 95 West,website_discovery
west,OR,Tactics - Portland,Nike SB Air Max 95 West,website_discovery
west,OR,Tactics - Bend,Nike SB Air Max 95 West,website_discovery
west,UT,Time Machine,Nike SB Air Max 95 West,website_discovery
